Date,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds)
03/15/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2129.0
03/16/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2028.0
03/16/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2281.0
03/16/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2324.0
03/17/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2134.0
03/17/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2115.0
03/17/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1799.0
03/18/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2078.0
03/18/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1840.0
03/18/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1675.0
03/19/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1703.0
03/19/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1643.0
03/19/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1942.0
03/20/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1628.0
03/20/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1985.0
03/20/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2148.0
03/21/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2077.0
03/21/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1932.0
03/21/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2229.0
03/22/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2100.0
03/22/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2146.0
03/22/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2245.0
03/23/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1880.0
03/23/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2323.0
03/23/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2374.0
03/24/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1985.0
03/24/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2222.0
03/24/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1660.0
03/25/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",2118.0
03/25/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1756.0
03/25/2018,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1650.0
03/26/2016,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1561.0
03/26/2017,"Champs-Élysées, Paris","Paris-Charles De Gaulle, (CDG), Roissy-en-France",1634.0
